gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
187148,20141231,2014,INDL,C,D,STD,USD,,1657.808,13.0586,100.927,4.488,9.89,16.7,1436.651,0,0,22.643,41.475,41.475,0,2.48,1266.745,0,-1193.423,,1439.73,24.519,11.646,0,45.963,45.963,218.078,,3.031,4.488,A,13.05,525990
187148,20141231,2014,FS,C,D,STD,USD,6.211,1657.808,,,,,,1436.651,0,,22.643,,,0,,,0,,,1439.73,,,0,32.038,,218.078,,3.031,,A,13.05,525990
187153,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,A,37.3,525910
187164,20141231,2014,INDL,C,D,STD,USD,,3535.09,20.3431,30.502,11.624,14.961,14.857,582,127.447,,1.628,103.914,103.914,1.611,1.49,429.469,630.683,-84.239,,3232.852,22.259,-348.636,0,297.523,297.523,302.238,,,193.609,A,17.41,522120
187164,20141231,2014,FS,C,D,STD,USD,,3535.09,,,,,,582,127.447,,1.628,,,1.611,,,,,,3232.852,,,0,297.523,,302.238,,12.624,,A,17.41,522120
187165,20141231,2014,INDL,C,D,STD,USD,,375.017,3.8325,213.688,120.122,76.828,72.191,0,0,0,0,38.301,44.155,1.969,0.55,-36.061,0,63.368,95.412,98.342,42.403,44.076,0,263.975,263.975,276.675,237.068,0,219.82,A,8.31,517919
187166,20140831,2014,INDL,C,D,STD,USD,,0.114,0.0004,0.099,0,51.632,100.25,0,0,0,0,-0.215,-0.215,0,0,0.253,0,-0.032,0.074,0.074,-0.27,-0.195,0,0,0,0.04,0.039,0.001,0.215,A,0.4999,325412
187167,20141231,2014,INDL,C,D,STD,USD,,558.954,7.7912,3.576,72.468,27.092,28.062,0,280,280,53.428,65.19,103.99,0,1.94,1.224,0,-69.95,18.63,340.317,52.742,67.885,0,187.905,187.905,218.637,49.531,10.472,83.915,A,7.07,211111
187169,20141231,2014,INDL,C,D,STD,USD,,262.637,8.4614,6.561,275.759,11.132,10.731,1.667,80.391,82.058,0,27.337,32.046,0.364,1.58,67.653,93.903,-51.713,76.048,171.838,23.726,-15.685,0,347.995,347.995,90.799,114.955,1.331,315.949,A,51.61,33361
187172,20141231,2014,INDL,C,D,STD,CAD,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,A,35.18,525910
