gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,act,ceq,che,ci,csho,dlc,dltt,dt,dvt,ebitda,emp,fincf,icapt,idit,intan,invt,ivncf,ivst,lct,oancf,ppegt,pstk,rect,revt,seq,tfva,txt,xint,xlr,xopr,costat,prcc_c,naics
061750,20141231,2014,INDL,C,D,STD,NYMOX PHARMACEUTICAL CORP,USD,1.3960,-4.5810,0.6320,-4.5940,35.8720,0.0000,0.7190,0.719,0.0000,-4.7180,0.0080,5.8560,-3.0620,0.0000,0.0000,0.0880,-0.0040,0.0000,4.4850,-5.5150,0.5520,0.0000,0.6760,2.9500,-4.5810,,-0.0520,0.1130,3.7040,7.6680,A,0.4000,325413
061759,20141231,2014,INDL,C,D,STD,CORE LABORATORIES NV,USD,301.8200,87.5730,23.3500,255.3580,43.6370,0.0000,356.0000,356,89.0890,374.2960,5.0000,-263.1210,449.9930,0.4030,175.1060,43.3710,-42.0660,0.0000,131.8660,303.4490,367.1970,0.0000,208.1430,1085.2220,87.5730,0.0000,77.3050,10.6000,,710.9260,A,120.3400,213112
061763,20140630,2014,INDL,C,D,STD,ELIZABETH ARDEN INC,USD,607.7580,370.9890,56.3080,-147.5710,29.7580,80.4360,356.4690,356.487,0.0000,47.4430,2.7900,83.6370,733.0110,,306.6110,338.8260,-51.0820,0.0000,274.0310,-38.0450,219.3760,0.0000,160.8060,1173.7680,370.9890,0.0000,56.8320,25.8250,,1126.3250,A,21.3900,325620
061766,20140630,2014,INDL,C,D,STD,ASTROTECH CORP,USD,5.6840,28.5000,3.8310,-5.8680,19.5450,5.6550,0.0000,5.655,0.0000,-3.3670,0.0660,-0.3450,30.3000,,0.0000,0.0000,-0.3680,0.0000,10.0930,-0.5520,111.0020,0.0000,1.2790,16.4230,28.5000,0.0000,0.0060,0.2330,,19.7900,A,2.4300,336419
061776,20140930,2014,INDL,C,D,STD,T J T INC,USD,2.2640,3.4140,0.2720,0.8480,4.5330,0.0000,0.0000,0,0.0000,0.1910,0.0270,0.0000,3.4140,,0.0000,1.5680,0.1690,0.0000,0.4240,-0.0710,1.9560,0.0000,0.3750,6.1630,3.4140,,-0.6000,,,5.9720,A,0.5498,336390
061796,20141231,2014,INDL,C,D,STD,SOUTHERN MICH BANCORP INC,USD,,63.1600,15.6210,5.3010,2.2710,24.6440,5.1550,,1.3970,12.7600,,-1.4640,68.3150,,14.1830,3.6430,-23.1020,11.9250,,7.5740,,0.0000,404.9350,26.9260,63.1600,72.8800,1.8110,,10.2300,14.1660,A,21.0500,522110
061796,20141231,2014,FS,C,D,STD,SOUTHERN MICH BANCORP INC,USD,,63.1600,,5.3010,,24.6440,5.1550,,1.3970,,,,68.3150,20.3200,14.1830,,,11.9250,,,,0.0000,,26.9260,63.1600,,1.8110,1.6130,10.2300,,A,21.0500,522110
061811,20141231,2014,INDL,C,D,STD,SOUTHERN COPPER CORP,USD,2489.7890,5804.4600,722.0150,1336.5120,812.6180,200.0000,4006.0310,4206.031,380.9820,2769.1610,12.7350,-1064.4700,9842.6300,15.2830,109.8720,836.4640,-1655.1960,358.0450,1150.9050,1355.8930,12284.7300,0.0000,621.8800,5787.6940,5804.4600,646.3000,754.6290,265.2780,,3018.5330,A,28.2000,212234
061814,20141231,2014,INDL,C,D,STD,BESI-BE SEMICONDUCTOR INDS,USD,373.8560,396.0610,163.7540,87.2920,40.0340,17.4050,3.6040,4.59,15.0080,101.3580,1.5100,-15.6560,401.5140,0.8420,102.6480,84.0150,-19.0640,0.0000,111.3210,88.6940,71.6840,0.0000,118.8050,458.3820,396.0610,,0.2370,0.4590,109.6910,357.0240,A,22.4220,333242
061815,20141231,2014,INDL,C,D,STD,BROADWAY FINANCIAL CORP/DE,USD,,37.2580,20.7900,2.6140,29.0770,35.0000,56.1000,,0.0000,7.4160,0.0710,15.6550,93.3580,,0.0630,21.5630,-54.3700,15.0500,,1.3090,,0.0000,276.6430,16.4490,37.2580,17.0750,0.0030,,6.8870,9.0330,A,1.3100,522120
